date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2020-01-02,72.71607208251953,94.90049743652344,68.1083755493164,208.7959442138672,153.32325744628906,5.972161293029785,28.68400001525879
2020-01-03,72.00914001464844,93.74849700927734,67.7520751953125,207.69114685058594,151.41412353515625,5.876570701599121,29.534000396728516
2020-01-06,72.58290100097656,95.14399719238281,69.55794525146484,211.60272216796875,151.80551147460938,5.901215553283691,30.1026668548584
2020-01-07,72.24154663085938,95.34300231933594,69.42359161376953,212.06056213378906,150.42137145996094,5.972658634185791,31.270666122436523
2020-01-08,73.4036636352539,94.59850311279297,69.91773223876953,214.21043395996094,152.8173370361328,5.983860969543457,32.80933380126953
2020-01-09,74.96282196044922,95.05249786376953,70.65171813964844,217.2760009765625,154.72647094726562,6.049578666687012,32.089332580566406
2020-01-10,75.13227081298828,94.15799713134766,71.10803985595703,217.03709411621094,154.0105743408203,6.081941604614258,31.876667022705078
2020-01-13,76.7374267578125,94.56500244140625,71.6589126586914,220.86904907226562,155.8623809814453,6.2726240158081055,34.990665435791016
2020-01-14,75.70122528076172,93.47200012207031,71.18915557861328,218.0323944091797,154.76466369628906,6.155624866485596,35.861331939697266
2020-01-15,75.37679290771484,93.10099792480469,71.61759948730469,220.11260986328125,155.76698303222656,6.113057613372803,34.56666564941406
2020-01-16,76.32099914550781,93.89700317382812,72.16300201416016,220.7296905517578,158.6211395263672,6.196699142456055,34.232666015625
2020-01-17,77.16596221923828,93.23600006103516,73.62400817871094,221.09796142578125,159.50888061523438,6.2054123878479,34.03333282470703
2020-01-21,76.64301300048828,94.5999984741211,73.7598648071289,220.40126037597656,158.9361572265625,6.172054767608643,36.47999954223633
2020-01-22,76.91657257080078,94.37300109863281,73.84046173095703,220.2818145751953,158.17250061035156,6.226073741912842,37.97066879272461
2020-01-23,77.2869873046875,94.22899627685547,73.88127136230469,218.7291259765625,159.14613342285156,6.294530391693115,38.14666748046875
2020-01-24,77.06427001953125,93.08200073242188,72.95968627929688,216.91766357421875,157.54246520996094,6.235283374786377,37.654666900634766
2020-01-27,74.79815673828125,91.41699981689453,71.24588012695312,213.86207580566406,154.9078369140625,5.979379177093506,37.201332092285156
2020-01-28,76.91416931152344,92.6624984741211,72.1799087524414,216.76837158203125,157.94338989257812,6.172802448272705,37.793331146240234
2020-01-29,78.52416229248047,92.9000015258789,72.48844146728516,222.18283081054688,160.4062042236328,6.112311840057373,38.732666015625
2020-01-30,78.41035461425781,93.53399658203125,72.36651611328125,208.547119140625,164.93084716796875,6.119030952453613,42.72066879272461
2020-01-31,74.9337387084961,100.43599700927734,71.29812622070312,200.96286010742188,162.49668884277344,5.885532855987549,43.371334075927734
2020-02-03,74.72796630859375,100.20999908447266,73.77727508544922,203.23216247558594,166.45814514160156,5.982616901397705,52.0
2020-02-04,77.19499969482422,102.4834976196289,71.92662048339844,208.84571838378906,171.9373779296875,6.151891708374023,59.137332916259766
2020-02-05,77.82447814941406,101.99349975585938,71.9584732055664,209.12440490722656,171.72738647460938,6.242254257202148,48.97999954223633
2020-02-06,78.73479461669922,102.5114974975586,73.44735717773438,209.8609161376953,175.28794860839844,6.329131603240967,49.930667877197266
2020-02-07,77.6645736694336,103.96399688720703,73.60359954833984,211.33396911621094,175.53611755371094,6.262916088104248,49.871334075927734
2020-02-10,78.03345489501953,106.69550323486328,75.07408142089844,212.06056213378906,180.12762451171875,6.546203136444092,51.41866683959961
2020-02-11,77.5626220703125,107.54000091552734,75.14373779296875,206.21807861328125,176.06114196777344,6.66867733001709,51.62533187866211
2020-02-12,79.40458679199219,108.0,75.57020568847656,209.77133178710938,176.3188934326172,6.784430980682373,51.15266799926758
2020-02-13,78.83912658691406,107.49349975585938,75.30945587158203,212.1401824951172,175.36431884765625,6.740617752075195,53.599998474121094
2020-02-14,78.85855865478516,106.74349975585938,75.57518005371094,213.17530822753906,176.92982482910156,7.213841915130615,53.33533477783203
2020-02-18,77.41458892822266,107.78350067138672,75.61051177978516,216.7783203125,178.7244110107422,7.382617950439453,57.22666549682617
2020-02-19,78.53577423095703,108.51100158691406,75.8807144165039,216.46978759765625,179.2604522705078,7.8339338302612305,61.16133117675781
2020-02-20,77.73008728027344,107.65499877929688,75.48859405517578,213.57342529296875,176.5228729248047,7.684574604034424,59.96066665649414
2020-02-21,75.97066497802734,104.79850006103516,73.82006072998047,209.19407653808594,170.94256591796875,7.3203840255737305,60.06666564941406
2020-02-24,72.36203002929688,100.4645004272461,70.65519714355469,199.77845764160156,163.57225036621094,6.802851676940918,55.58599853515625
2020-02-25,69.91096496582031,98.63700103759766,68.98617553710938,195.84698486328125,160.87303161621094,6.5233001708984375,53.32733154296875
2020-02-26,71.0199966430664,98.97949981689453,69.19268798828125,196.2749481201172,162.8831024169922,6.6627020835876465,51.91999816894531
2020-02-27,66.37755584716797,94.21499633789062,65.43465423583984,188.85989379882812,151.40652465820312,6.291820049285889,45.266666412353516
2020-02-28,66.33873748779297,94.1875,66.64388275146484,191.56715393066406,155.07252502441406,6.72696590423584,44.53266525268555
2020-03-02,72.51490783691406,97.69750213623047,68.98617553710938,195.5185089111328,165.3909149169922,6.885381698608398,49.574668884277344
2020-03-03,70.21187591552734,95.44950103759766,66.56774139404297,185.01800537109375,157.4654541015625,6.622849464416504,49.70066833496094
2020-03-04,73.4686508178711,98.79149627685547,68.75130462646484,190.8604736328125,163.24681091308594,7.086640357971191,49.96666717529297
2020-03-05,71.08554077148438,96.20149993896484,65.42520904541016,184.3013916015625,159.15011596679688,6.807170391082764,48.30266571044922
